,Beta,P-Value,Significance,Period
Growth,0.9684710019301404,2.60258775038103e-32,***,1998-12-31 to 2003-12-31
Large,1.0150196105179559,3.799699962356627e-74,***,1998-12-31 to 2003-12-31
Momentum,0.7725399341141489,2.1327507561159425e-13,***,1998-12-31 to 2003-12-31
Quality,0.7828506783327468,1.3042839821854554e-26,***,1998-12-31 to 2003-12-31
Small,0.89006231538142,1.1874972342216745e-18,***,1998-12-31 to 2003-12-31
Value,1.0310697640604058,3.4310696004164865e-34,***,1998-12-31 to 2003-12-31
LowVol,0.6007967874850683,4.767337496409913e-12,***,1998-12-31 to 2003-12-31
Growth,0.890101577897689,4.5568793685787596e-30,***,2003-12-31 to 2007-12-31
Large,0.9404296349431093,2.0668228836834658e-45,***,2003-12-31 to 2007-12-31
Momentum,1.1030806750943887,1.789792990275568e-20,***,2003-12-31 to 2007-12-31
Quality,0.8347918009653496,6.6623410364692665e-19,***,2003-12-31 to 2007-12-31
Small,1.402559275644693,1.4183653413937032e-16,***,2003-12-31 to 2007-12-31
Value,1.1111588289703256,3.105991099545372e-34,***,2003-12-31 to 2007-12-31
LowVol,0.8061106378652576,3.638583367381493e-17,***,2003-12-31 to 2007-12-31
Growth,0.8411215159488443,1.957823897716452e-15,***,2007-12-31 to 2009-12-31
Large,0.9741782338983883,1.1395184459964733e-28,***,2007-12-31 to 2009-12-31
Momentum,0.7699690693954193,6.512908360331512e-08,***,2007-12-31 to 2009-12-31
Quality,0.7483038634208757,6.551960960385592e-10,***,2007-12-31 to 2009-12-31
Small,1.2357687466856064,3.394265990715022e-11,***,2007-12-31 to 2009-12-31
Value,1.168327222377299,6.527514578419762e-18,***,2007-12-31 to 2009-12-31
LowVol,0.6973689897081192,4.299704946505954e-13,***,2007-12-31 to 2009-12-31
Growth,0.8717501545076898,8.066425256949035e-19,***,2009-12-31 to 2012-12-31
Large,0.9923660308901225,2.6889885022317476e-44,***,2009-12-31 to 2012-12-31
Momentum,0.8097589177176088,1.4736537367378833e-10,***,2009-12-31 to 2012-12-31
Quality,0.6657910885769713,2.253137722638246e-12,***,2009-12-31 to 2012-12-31
Small,1.1034333580876239,1.3191489326162766e-14,***,2009-12-31 to 2012-12-31
Value,1.1359208850650944,8.480578718414633e-22,***,2009-12-31 to 2012-12-31
LowVol,0.5628164841669914,1.3591054997633612e-12,***,2009-12-31 to 2012-12-31
Growth,0.936936425928317,1.265747922155606e-44,***,2012-12-31 to 2019-12-31
Large,0.9996004123823424,1.2929322549813828e-93,***,2012-12-31 to 2019-12-31
Momentum,0.8699861827817472,1.3628605185260215e-30,***,2012-12-31 to 2019-12-31
Quality,0.899581850566915,3.9698697820073155e-37,***,2012-12-31 to 2019-12-31
Small,0.9922042565963046,2.1639752910731852e-30,***,2012-12-31 to 2019-12-31
Value,1.0657710565050669,1.3688262547923712e-47,***,2012-12-31 to 2019-12-31
LowVol,0.7391534740277009,4.6220009642681354e-32,***,2012-12-31 to 2019-12-31
Growth,0.7680737261661312,1.169069701103675e-12,***,2019-12-31 to 2021-12-31
Large,0.9796116013578625,4.0221139778207734e-26,***,2019-12-31 to 2021-12-31
Momentum,0.680399936053245,3.5189624234703663e-10,***,2019-12-31 to 2021-12-31
Quality,0.7855092268486172,2.5451486557898254e-11,***,2019-12-31 to 2021-12-31
Small,1.2319976401515929,2.8276767837907938e-12,***,2019-12-31 to 2021-12-31
Value,1.2474246909867173,1.8837792524519357e-16,***,2019-12-31 to 2021-12-31
LowVol,0.72395796754393,8.749420479939024e-11,***,2019-12-31 to 2021-12-31
Growth,1.0622316783226222,5.1954711506635546e-17,***,2021-12-31 to 2024-12-31
Large,0.957689048832692,5.140948253932062e-42,***,2021-12-31 to 2024-12-31
Momentum,0.8271125826756207,1.3246906379315561e-14,***,2021-12-31 to 2024-12-31
Quality,1.0397333629608703,1.3508151989041994e-16,***,2021-12-31 to 2024-12-31
Small,1.324818002482876,1.209604634711411e-18,***,2021-12-31 to 2024-12-31
Value,0.9371661295632845,2.126620580158678e-15,***,2021-12-31 to 2024-12-31
LowVol,0.7510123770551218,1.9881985875541007e-14,***,2021-12-31 to 2024-12-31
